                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.57808,                0.38187,                0.92022,                0.92506,                 0.8101,                0.92595,                 0.7654,                 0.6158,                0.43109,                0.90791,              7.162e-05,              7.162e-05,              7.162e-05
                     89,                0.54775,                0.36884,                0.90858,                0.85064,                0.80344,                0.89123,                0.73994,                0.60244,                0.46703,                0.89702,              7.129e-05,              7.129e-05,              7.129e-05
                     90,                 0.5465,                0.35859,                0.89779,                0.83346,                0.82929,                0.89472,                0.73626,                0.59967,                0.47569,                0.90054,              7.096e-05,              7.096e-05,              7.096e-05
                     91,                0.58257,                0.36992,                0.89168,                0.88347,                0.79399,                0.88367,                0.74447,                0.60952,                0.47667,                0.90435,              7.063e-05,              7.063e-05,              7.063e-05
                     92,                0.55199,                0.36526,                0.89746,                0.88382,                0.79682,                0.87311,                0.73617,                0.60918,                 0.4945,                0.89556,               7.03e-05,               7.03e-05,               7.03e-05
                     93,                0.55157,                0.36244,                0.89954,                0.85882,                0.82912,                0.87009,                0.72825,                0.59536,                0.46906,                0.89887,              6.997e-05,              6.997e-05,              6.997e-05
                     94,                0.54521,                0.35205,                0.88678,                 0.8662,                0.76258,                0.87242,                0.72511,                0.61338,                0.48608,                0.90774,              6.964e-05,              6.964e-05,              6.964e-05
                     95,                0.48446,                0.33267,                 0.8881,                0.88071,                0.79356,                0.88892,                0.75135,                 0.5941,                0.47651,                0.89758,              6.931e-05,              6.931e-05,              6.931e-05
                     96,                0.51623,                0.34487,                 0.8897,                0.87865,                0.80479,                0.88152,                0.73824,                0.61098,                0.46577,                0.89496,              6.898e-05,              6.898e-05,              6.898e-05
                     97,                0.51527,                0.34785,                0.89814,                0.87383,                0.82673,                0.87825,                0.74914,                0.59762,                0.47197,                 0.8951,              6.865e-05,              6.865e-05,              6.865e-05
                     98,                 0.4794,                0.32397,                0.88829,                0.89855,                 0.8141,                0.88372,                0.74937,                0.59863,                 0.4714,                 0.8985,              6.832e-05,              6.832e-05,              6.832e-05
                     99,                0.53613,                0.35209,                0.90109,                  0.849,                0.84044,                0.87766,                  0.747,                0.60923,                0.44414,                0.90212,              6.799e-05,              6.799e-05,              6.799e-05
                    100,                0.52579,                0.34977,                0.89162,                0.91294,                0.79393,                0.88074,                0.74975,                0.60847,                0.45333,                0.89669,              6.766e-05,              6.766e-05,              6.766e-05
                    101,                 0.5012,                  0.335,                0.89138,                  0.913,                0.79491,                0.88659,                0.74769,                0.60845,                0.46157,                0.89548,              6.733e-05,              6.733e-05,              6.733e-05
                    102,                0.55814,                0.35199,                0.89287,                0.90846,                0.79132,                0.88513,                0.73308,                0.61259,                0.47533,                0.89267,                6.7e-05,                6.7e-05,                6.7e-05
                    103,                0.51049,                0.33895,                0.89526,                0.86102,                0.81551,                0.88402,                0.74115,                0.59744,                0.49185,                0.88607,              6.667e-05,              6.667e-05,              6.667e-05
                    104,                0.52619,                0.35286,                0.89118,                0.89471,                0.84216,                0.90871,                0.76406,                0.59971,                0.46023,                0.89552,              6.634e-05,              6.634e-05,              6.634e-05
                    105,                0.50717,                0.34346,                0.89343,                0.83335,                0.87629,                0.90652,                0.76928,                0.59479,                0.43918,                0.88747,              6.601e-05,              6.601e-05,              6.601e-05
                    106,                0.50832,                0.33989,                 0.8902,                0.86994,                0.84417,                0.89523,                0.75119,                0.57953,                0.42269,                0.88022,              6.568e-05,              6.568e-05,              6.568e-05
                    107,                0.53979,                0.35782,                0.89381,                0.90101,                0.78149,                0.89351,                0.74642,                0.58217,                0.44518,                0.88959,              6.535e-05,              6.535e-05,              6.535e-05
                    108,                0.53186,                0.34893,                0.88528,                0.86302,                0.83969,                0.86932,                0.72896,                0.58871,                0.42205,                0.89489,              6.502e-05,              6.502e-05,              6.502e-05
                    109,                0.51109,                 0.3295,                0.88414,                0.85023,                0.82646,                0.87487,                0.73366,                0.59235,                0.45119,                0.89694,              6.469e-05,              6.469e-05,              6.469e-05
                    110,                0.51201,                0.34128,                  0.892,                0.86305,                0.81048,                0.87673,                0.73066,                0.60408,                0.46685,                0.89997,              6.436e-05,              6.436e-05,              6.436e-05
                    111,                0.51223,                0.33162,                 0.8738,                0.88575,                0.79409,                 0.8565,                0.71786,                0.59323,                0.47362,                0.90405,              6.403e-05,              6.403e-05,              6.403e-05
                    112,                0.50215,                0.33401,                0.89135,                0.84525,                 0.8107,                0.87604,                0.73654,                0.59564,                0.46344,                0.90239,               6.37e-05,               6.37e-05,               6.37e-05
                    113,                 0.4999,                0.33999,                0.89527,                0.84401,                0.83681,                0.88151,                 0.7431,                0.59316,                0.45456,                0.90278,              6.337e-05,              6.337e-05,              6.337e-05
                    114,                 0.4894,                0.32349,                0.88427,                0.88154,                0.83439,                0.88165,                0.74992,                0.58562,                0.43437,                0.90051,              6.304e-05,              6.304e-05,              6.304e-05
                    115,                0.49437,                0.31676,                0.89192,                0.92343,                0.80085,                0.88613,                0.74862,                0.60526,                0.44704,                0.90449,              6.271e-05,              6.271e-05,              6.271e-05
                    116,                0.49508,                0.32479,                0.89067,                0.87005,                0.82962,                0.87891,                0.73884,                0.59053,                0.42036,                 0.9026,              6.238e-05,              6.238e-05,              6.238e-05
                    117,                0.49299,                0.32551,                0.88181,                0.80424,                0.87074,                0.88343,                0.73598,                 0.5916,                0.43263,                0.89266,              6.205e-05,              6.205e-05,              6.205e-05
                    118,                0.50536,                0.33121,                 0.8881,                0.87298,                0.83105,                 0.8846,                0.73475,                  0.599,                 0.4552,                0.89699,              6.172e-05,              6.172e-05,              6.172e-05
                    119,                0.49566,                0.32233,                0.88664,                0.88359,                0.84237,                0.89232,                 0.7527,                0.59586,                0.46298,                0.89594,              6.139e-05,              6.139e-05,              6.139e-05
                    120,                0.50324,                0.32709,                0.89166,                0.86749,                0.83059,                0.87672,                0.74375,                0.60188,                0.45099,                0.89019,              6.106e-05,              6.106e-05,              6.106e-05
                    121,                0.50643,                0.32556,                0.88605,                0.91221,                 0.8145,                0.89553,                0.75346,                 0.5944,                0.43048,                 0.8937,              6.073e-05,              6.073e-05,              6.073e-05
                    122,                0.49215,                0.31253,                0.87899,                0.88903,                0.84164,                0.89024,                  0.744,                0.59293,                0.43758,                0.89463,               6.04e-05,               6.04e-05,               6.04e-05
                    123,                0.49055,                 0.3114,                 0.8748,                0.87362,                0.85317,                0.89402,                0.74611,                0.60874,                0.43605,                0.90552,              6.007e-05,              6.007e-05,              6.007e-05
                    124,                0.47479,                 0.3151,                0.87886,                0.88542,                0.81109,                0.89025,                0.74878,                0.59681,                0.45831,                 0.9017,              5.974e-05,              5.974e-05,              5.974e-05
                    125,                0.49111,                0.31553,                0.86935,                0.90103,                0.79398,                0.87397,                0.73271,                0.59358,                0.45967,                0.90487,              5.941e-05,              5.941e-05,              5.941e-05
                    126,                0.46505,                0.30468,                0.87961,                0.86555,                 0.8521,                0.90184,                0.75936,                0.60504,                0.42223,                0.91079,              5.908e-05,              5.908e-05,              5.908e-05
                    127,                0.48237,                0.30548,                0.87313,                0.84004,                 0.8704,                0.89919,                0.74804,                 0.6159,                0.43496,                0.91289,              5.875e-05,              5.875e-05,              5.875e-05
                    128,                0.44851,                0.29813,                0.88129,                0.92408,                0.80179,                 0.9046,                0.74679,                0.60726,                0.42024,                0.90961,              5.842e-05,              5.842e-05,              5.842e-05
                    129,                0.45303,                0.30611,                0.87933,                0.92183,                0.79208,                0.89958,                0.75449,                0.60189,                0.42798,                0.90425,              5.809e-05,              5.809e-05,              5.809e-05
                    130,                0.45513,                0.30111,                0.87006,                0.90153,                0.78042,                0.87388,                0.74492,                0.61366,                0.43114,                0.89968,              5.776e-05,              5.776e-05,              5.776e-05
                    131,                 0.4489,                0.30157,                0.87915,                0.84295,                0.83726,                0.88176,                0.74781,                0.60785,                0.43391,                0.89823,              5.743e-05,              5.743e-05,              5.743e-05
                    132,                0.48087,                0.30956,                0.87176,                0.82001,                0.87085,                0.87513,                0.74433,                0.58556,                0.44665,                0.89105,               5.71e-05,               5.71e-05,               5.71e-05
                    133,                0.46724,                0.30175,                0.87752,                0.84582,                0.85564,                0.88468,                0.75348,                0.59726,                0.46503,                0.89388,              5.677e-05,              5.677e-05,              5.677e-05
                    134,                0.45764,                 0.2993,                0.87138,                0.89356,                0.83769,                 0.8821,                0.75111,                0.58721,                0.44613,                0.89904,              5.644e-05,              5.644e-05,              5.644e-05
                    135,                0.48614,                0.31511,                 0.8754,                0.92168,                0.81996,                0.89276,                0.74652,                0.60932,                0.45161,                 0.9177,              5.611e-05,              5.611e-05,              5.611e-05
                    136,                0.45753,                0.30644,                 0.8781,                0.91026,                0.82872,                0.89975,                0.75121,                 0.5953,                0.45697,                0.90859,              5.578e-05,              5.578e-05,              5.578e-05
                    137,                 0.4321,                0.29862,                0.88397,                0.87387,                0.86031,                0.88798,                0.73449,                0.58986,                0.42506,                0.90599,              5.545e-05,              5.545e-05,              5.545e-05
                    138,                0.47545,                0.31043,                 0.8791,                0.86994,                0.85419,                0.90441,                0.76222,                0.58833,                0.44285,                0.90747,              5.512e-05,              5.512e-05,              5.512e-05
